monster_name,cr
saeth cromley,3.0
sagacitous erusaire,10.0
sage,0.5
sahuagin,0.5
sahuagin baron,5.0
sahuagin blademaster,6.0
sahuagin champion,3.0
sahuagin coral smasher,1.0
sahuagin deep diver,4.0
sahuagin hatchling swarm,3.0
sahuagin high priestess,5.0
sahuagin priestess,2.0
sahuagin warlock of uk'otoa,3.0
sahuagin wave shaper,5.0
sailback,5.0
salamander,5.0
saleeth the couatl,4.0
salida,1.0
samara strongbones,1.0
samira arah,1.0
sanbalet,1.0
sandesyl morgia,13.0
sandwurm,15.0
sangzor,1.0
sapphire dragon wyrmling,3.0
sapphire greatwyrm,26.0
sapphire sentinel,10.0
sarevok,17.0
sarith kzekarit,0.25
sarlamir,7.0
satyr,0.5
satyr reveler,1.0
satyr thornbearer,2.0
sauriv,0.125
savid,0.5
scaladar,8.0
scanlan shorthalt,15.0
scarecrow,1.0
scarlet sentinel,1.0
scholarly agent,1.0
scholarly excavator,3.0
scholarly mastermind,5.0
scion of grolantor,22.0
scion of memnor,26.0
scion of skoraeus,23.0
scion of stronmaus,27.0
scion of surtur,25.0
scion of thrym,24.0
scorchbringer guard,0.5
scorpion,0.0
scout,0.5
scrag,5.0
scrapper,8.0
scream thief,3.0
screaming devilkin,1.0
scribble,1.0
scufflecup teacup,0.0
scuttling serpentmaw,4.0
sea drake,2.0
sea elf,0.125
sea elf scout,0.5
sea fury,12.0
sea hag,2.0
sea horse,0.0
sea lion,5.0
sea spawn,1.0
seal,0.0
sekelok,9.0
selenelion twin,2.0
sentient gray ooze,0.5
sentient ochre jelly,2.0
seodra,0.125
sephek kaltro,3.0
septon modron,12.0
serapio,5.0
sergeant,0.125
serpopard,3.0
serra angel,10.0
servitor thrull,0.25
servo,0.0
setessan hoplite,4.0
seth the shapeshifting dragon,10.0
severin,11.0
sewer king,2.0
shadar-kai gloom weaver,9.0
shadar-kai shadow dancer,7.0
shadar-kai soul monger,11.0
shade,0.5
shadow,0.5
shadow assassin,9.0
shadow dancer,7.0
shadow demon,4.0
shadow horror,9.0
shadow mastiff,2.0
shadow mastiff alpha,3.0
shadow spirit,
shadowghast,5.0
shadowsteel ghast,7.0
shadowsteel ghoul,4.0
shadrix silverquill,22.0
shago,5.0
shalai,21.0
shaldoor,13.0
shalendra floshin,3.0
shalfi lewin,8.0
shalvus martholio,
shambling mound,5.0
shambling mound totem elemental,5.0
shapechanged roper,5.0
shard shunner,2.0
sharda,2.0
shariel,10.0
sharkbody abomination,2.0
sharwyn hucrele,0.5
shator demodand,16.0
shatter corpse,1.0
shatterskull giant,7.0
shedrak of the eyes,6.0
sheep,0.0
sheldon the blueberry dragon,7.0
shell shark,2.0
shemeshka,14.0
shemshime,4.0
shield dwarf guard,0.125
shield dwarf noble,0.125
shield guardian,7.0
shieldhead,0.5
shifter,0.5
shira,0.0
shoal serpent,2.0
shoalar quanderil,4.0
shockerstomper,14.0
sholeh,20.0
shoosuva,8.0
shredwing,12.0
shrieker,0.0
shunn shurreth,5.0
shuushar the awakened,0.25
sibriex,18.0
sigarda,16.0
sildar hallwinter,1.0
silver dragon wyrmling,2.0
silver greatwyrm,28.0
silverquill apprentice,2.0
silverquill pledgemage,4.0
silverquill professor of radiance,7.0
silverquill professor of shadow,7.0
simic merfolk,0.125
simon aumar,5.0
sinensa,2.0
sing-along,0.0
sir baric nylef,
sir braford,0.5
sir godfrey gwilym,6.0
sir jared,5.0
sir talavar,2.0
sir ursas,5.0
sirac of suzail,
sire of insanity,12.0
siren,3.0
sirene,3.0
sitri cat,0.0
sivak draconian,4.0
skaab,5.0
skabatha nightshade,8.0
skeemo weirdbottle,6.0
skeletal alchemist,0.5
skeletal bloodfin,9.0
skeletal giant owl,0.25
skeletal horror,6.0
skeletal juggernaut,5.0
skeletal knight,7.0
skeletal owlbear,3.0
skeletal polar bear,2.0
skeletal rats,0.25
skeletal riding horse,0.25
skeletal swarm,2.0
skeletal two-headed owlbear,3.0
skeleton,0.25
skeleton cannoneer,2.0
skeleton commander,3.0
skeleton key,0.25
skeleton lord,9.0
skeleton rifler,0.5
skeleton warrior,5.0
sken zabriss,1.0
skinweaver,3.0
skittering horror,15.0
skitterwidget,5.0
skr'a s'orsk,2.0
skriss,0.25
skulk,0.5
skull flier,0.5
skull lasher of myrkul,1.0
skull lord,15.0
skum,5.0
sky drake,4.0
sky leviathan,10.0
sky whale,5.0
skyjek roc,2.0
skylla,2.0
skyswimmer,13.0
skyweaver,3.0
slaad tadpole,0.125
sladis vadir,2.0
slarkrethel,25.0
slayer,12.0
sled dog,0.25
slithering bloodfin,9.0
slithering tracker,3.0
sloopidoop,6.0
sloth galloper,1.0
sludge hag,3.0
slurmy,0.125
small drake,0.25
smiler the defiler,7.0
smoke mephit,0.25
snake horror,4.0
snapjaw,5.0
snapping hydra,11.0
snarla,5.0
sneak,
snow golem,3.0
snow leopard,1.0
snow maiden,1.0
snowy owlbear,3.0
snurrevin,2.0
society of sensation muse,3.0
sofina,15.0
solar,21.0
solar bastion knight,9.0
solar dragon wyrmling,3.0
soldier,0.5
soluun xibrindas,4.0
sorrowfish,0.0
soul monger,11.0
soul shaker,4.0
soulstinger demon,9.0
sovereign basidia,2.0
space clown,2.0
space eel,0.5
space guppy,0.0
space hamster,0.25
space mollymawk,0.0
space swine,0.25
spawn of kyuss,5.0
spectator,3.0
specter,1.0
specter of night,12.0
spectral cloud,13.0
spellcaster,
spellcaster (healer),
spellcaster (mage),
spellix romwod,0.5
sperm whale,8.0
sphinx (type 1),17.0
sphinx (type 2),11.0
sphinx of judgment,11.0
spider,0.0
spider king,1.0
spiderbait,0.25
spiderfrog,0.25
spiked tomb guardian,6.0
spined devil,2.0
spirit,4.0
spirit naga,8.0
spirit statue mascot,0.25
spirit troll,11.0
spitting mimic,5.0
splugoth the returned,2.0
spore servant octopus,1.0
spotted lion,3.0
spring eladrin,10.0
sprite,0.25
spy,1.0
spythronar sac,0.0
spythronar swarm,2.0
spythronar web,2.0
squiddly,
squire,
squirt the oilcan,0.25
"ssendam, lord of madness",23.0
ssurran defiler,3.0
ssurran poisoner,0.5
stalagma steelshadow,16.0
stalker of baphomet,12.0
stanimir,6.0
star lancer,2.0
star spawn grue,0.25
star spawn hulk,10.0
star spawn larva mage,16.0
star spawn mangler,5.0
star spawn seer,13.0
starlight apparition,5.0
statue of talos,10.0
statue of vergadain,10.0
steam mephit,0.25
steel crane,8.0
steel defender,
steel leaf kavu,4.0
steel predator,16.0
stegosaurus,4.0
stella wachter,0.0
stench kow,0.5
stirge,0.125
stolos,6.0
stomping foot,0.0
stone cursed,1.0
stone defender,4.0
stone dragon statue,10.0
stone giant,7.0
stone giant dreamwalker,10.0
stone giant of evil earth,9.0
stone giant rockspeaker,16.0
stone giant statue,0.0
stone golem,10.0
stone guardian (animated armor),1.0
stone guardian (helmed horror),4.0
stone guardian (shield guardian),7.0
stone guardian (stone golem),10.0
stone juggernaut,12.0
stone warrior,4.0
stonecloak,10.0
stonemelder,4.0
stool,0.0
storm crab,11.0
storm giant,13.0
storm giant quintessent,16.0
storm giant skeleton,16.0
storm giant tempest caller,20.0
storm herald,17.0
stormborn ithjar,9.0
strahd von zarovich,15.0
strahd zombie,1.0
strahd's animated armor,6.0
strefan maurer,15.0
strigoi,4.0
strixhaven campus guide,1.0
strongheart,4.0
styx dragon,20.0
su-monster,1.0
succubus,4.0
sul khatesh,28.0
suldil baldoriel,10.0
summer eladrin,10.0
sunbird,13.0
sunder shaman,10.0
sundeth,9.0
sunfly,0.0
surrakar,0.5
svirfneblin wererat,2.0
swarm of animated books,0.25
swarm of bats,0.25
swarm of beetles,0.5
swarm of books,0.25
swarm of campestris,1.0
swarm of centipedes,0.5
swarm of cranium rats,5.0
swarm of gremishkas,2.0
swarm of hoard scarabs,2.0
swarm of insects,0.5
swarm of maggots,2.0
swarm of mechanical spiders,0.5
swarm of piranhas,1.0
swarm of poisonous snakes,2.0
swarm of quippers,1.0
swarm of rats,0.25
swarm of ravens,0.25
swarm of rot grubs,0.5
swarm of scarabs,3.0
swarm of sorrowfish,6.0
swarm of spiders,0.5
swarm of sunflies,1.0
swarm of undead snakes,2.0
swarm of wasps,0.5
swarm of zombie limbs,1.0
swashbuckler,3.0
swavain basilisk,7.0
sweettooth horror,4.0
sword spider,3.0
sword wraith commander,8.0
sword wraith warrior,3.0
sylgar,0.0
sylvira savikas,12.0
syndra silvane,12.0
sythian skalderang,7.0
szikzith,0.25
szoldar szoldarovich,0.5
tabaxi hunter,1.0
tabaxi minstrel,0.25
talis the white,5.0
"talisolvanar ""tally"" fellbranch",0.0
talon beast,7.0
tanarukk,5.0
tanazir quandrix,24.0
tarak,1.0
tarkanan assassin,2.0
tarnhem,19.0
tarrasque,30.0
tartha,9.0
tarul var,13.0
taryon darrington,9.0
tashlyn yafeera,9.0
tasloi,0.25
tasloi sniper,1.0
tatina rookledust,0.25
tau,2.0
tecuziztecatl,4.0
telepathic pentacle,8.0
tem temble,
tempest hart,11.0
tempest spirit,15.0
terastodon,6.0
terenzio cassalanter,
terra stomper,8.0
terracotta warrior,1.0
thane kayalithica,7.0
thanoi hunter,1.0
thavius kreeg,0.5
thayan apprentice,2.0
thayan warrior,2.0
the abbot,10.0
the angry,13.0
the bagman,5.0
the hungry,11.0
the keeper,7.0
the lonely,9.0
the lord of blades,18.0
the lost,7.0
the mad mage of mount baratok,12.0
the pudding king,4.0
the stranger,12.0
the weevil,2.0
the wretched,0.25
themberchaud,17.0
theran chimera,7.0
therzt,0.0
thessalar,12.0
thessalar's homunculus,0.0
thessalheart construct,0.0
thessalkraken,14.0
thinnings,1.0
tholtz daggerdark,12.0
thopter (bat),0.0
thopter (blood hawk),0.125
thopter (eagle),0.0
thopter (hawk),0.0
thopter (owl),0.0
thopter (pseudodragon),0.25
thopter (raven),0.0
thopter (vulture),0.0
thorn slinger,0.5
"thornboldt ""thorn"" durst",3.0
thornlamm,0.25
thorny,1.0
thorny vegepygmy,1.0
thorvin twinbeard,0.0
thought spy,1.0
thousand teeth,6.0
thrakkus,2.0
three earrings,2.0
thri-kreen,1.0
thri-kreen gladiator,7.0
thri-kreen hunter,2.0
thri-kreen mystic,5.0
thug,0.5
thunderbeast skeleton,3.0
thurl merosska,3.0
thurstwell vanthampur,0.125
thwad underbrew,9.0
tiamat,30.0
tiax,9.0
tiberius inuus,9.0
tiefling acrobat,0.0
tiefling muralist,0.125
tiger,1.0
timbermaw,2.0
time dragon wyrmling,5.0
tin soldier,1.0
tiny servant,
tissina khyret,2.0
titanothere,5.0
titivilus,16.0
tixie tockworth,7.0
tixie's shield guardian,7.0
tlacatecolo,5.0
tlexolotl,10.0
tlincalli,5.0
tloques-popolocas,5.0
tomb dwarf,3.0
tomb guardian,5.0
tomb tapper,10.0
tonalli,2.0
tooth-n-claw,3.0
topaz dragon wyrmling,2.0
topaz greatwyrm,26.0
topi,0.5
topolah,6.0
topsy,2.0
torbit,8.0
torcheater,0.0
torgja stonecrusher (levels 1-4),0.125
torgja stonecrusher (levels 5-8),0.5
torgja stonecrusher (levels 9-11),3.0
torlin silvershield,3.0
tornscale,0.5
torogar steelfist,11.0
tortle,0.25
tortle druid,2.0
tosh starling (levels 1-4),0.5
tosh starling (levels 5-8),1.0
tosh starling (levels 9-11),3.0
traag draconian,5.0
transcendent order conduit,8.0
transcendent order instinct,3.0
transmuter,5.0
transmuter wizard,5.0
trapper,3.0
traxigor,12.0
treant,9.0
treant sapling,2.0
treant totem elemental,9.0
tree blight,7.0
treefolk,11.0
trench giant,8.0
trenzia,4.0
trepsin,6.0
tressym,0.0
tri-flower frond,0.5
tribal warrior,0.125
tribal warrior spore servant,0.125
triceratops,5.0
tridrone,0.5
trilobite,0.0
trilobite (giant),0.125
trinket,5.0
triton master of waves,8.0
triton shorestalker,2.0
trobriand,22.0
troglodyte,0.25
troglodyte champion of laogzed,3.0
troll,5.0
troll amalgam,17.0
troll mutate,7.0
tromokratis,26.0
trostani,18.0
tsucora quori,7.0
tug,5.0
tungsten ward,0.25
turlang,9.0
turntimber giant,9.0
turvy,2.0
twig blight,0.125
two dry cloaks,1.0
two-headed cerberus,2.0
two-headed crocodile,1.0
two-headed owlbear,3.0
two-headed plesiosaurus,4.0
typhon,15.0
tyrannosaurus rex,8.0
tyrannosaurus zombie,8.0
tyrant,8.0
tyrant shadow,17.0
"tyreus, illusionist",13.0
udaak,16.0
ulamog,23.0
ulder ravengard,5.0
ulitharid,9.0
ultroloth,13.0
umber hulk,5.0
umbraxakar,15.0
undead bulette,5.0
undead cockatrice,0.5
undead shambling mound,5.0
undead soldier,3.0
undead spirit,
undead tree,9.0
undercity medusa,6.0
underworld cerberus,6.0
undying councilor,10.0
undying soldier,2.0
unicorn,5.0
unspeakable horror,8.0
urgala meltimer,
urstul floxin,8.0
urwin martikov,2.0
usagt,5.0
uthgardt barbarian leader,2.0
uthgardt shaman,2.0
uzoma baten,0.125
vaal,9.0
vaasha,13.0
vajra safahr,13.0
valenar hawk,0.125
valenar hound,0.5
valenar steed,0.5
valetta,2.0
valin sarnaster,16.0
valindra shadowmantle,21.0
valtagar steelshadow,12.0
valygar,9.0
vampirate,2.0
vampirate captain,6.0
vampirate mage,5.0
vampire,13.0
vampire neonate,5.0
vampire null,0.25
vampire spawn,5.0
vampire spellcaster,15.0
vampire warrior,15.0
vampiric ixitxachitl,2.0
vampiric ixitxachitl cleric,2.0
vampiric jade statue,8.0
vampiric mind flayer,5.0
vampiric mist,3.0
vanifer,9.0
varakkta,8.0
vargouille,1.0
vargouille reflection,1.0
varnoth,2.0
varnyr,0.125
varram,7.0
vasilka,5.0
vecna impersonator,3.0
vecna the archlich,26.0
vegepygmy,0.25
vegepygmy chief,2.0
veiled presence,21.0
veldyskar,3.0
vellin farstride,9.0
vellynne harpell,4.0
velociraptor,0.25
velomachus lorehold,25.0
venom troll,7.0
venomfang,8.0
venomous gnoll,1.0
verbeeg longstrider,5.0
verbeeg marauder,4.0
verin thelyss,5.0
verminaard,17.0
vertrand shadowdusk,12.0
veteran,3.0
veteran of the gauntlet,3.0
vex'ahlia,18.0
vi aroon,0.125
viari,5.0
viconia devir,13.0
victor vallakovich,6.0
victoro cassalanter,10.0
viktor,9.0
viln tirin,5.0
vilnius,6.0
vincent trench,13.0
vine blight,0.5
violet fungus,0.25
virruza,8.0
vistana assassin,8.0
vistana bandit,0.125
vistana bandit captain,2.0
vistana commoner,0.0
vistana guard,0.125
vistana spy,1.0
vistana thug,0.5
vitebriate,2.0
vizeran devir,12.0
vladimir horngaard,7.0
voalsh,11.0
vocath,5.0
void scavver,11.0
volenta popofsky,5.0
"volothamp ""volo"" geddarm",0.25
vorvolaka,14.0
vos'skyriss serpentfolk,3.0
vos'skyriss serpentfolk ghost,4.0
vox seeker,0.125
vrock,6.0
vulture,0.0
waeloquay,18.0
wakanga o'tamu,6.0
walking corpse,0.0
walking statue of waterdeep,18.0
walnut dankgrass,3.0
walrus,0.25
war devil,16.0
war priest,9.0
warden archon,8.0
warduke,5.0
warforged colossus,25.0
warforged soldier,1.0
warforged titan,8.0
warhorse,0.5
warhorse skeleton,0.5
warlock of the archfey,4.0
warlock of the fiend,7.0
warlock of the great old one,6.0
warlord,12.0
warrior,
warwyck blastimoff,3.0
wasteland dragonnel,3.0
wastrilith,13.0
water elemental,5.0
water elemental myrmidon,7.0
water totem elemental,5.0
water weird,3.0
weasel,0.0
wei feng ying,12.0
werebat,2.0
werebear,5.0
werebear ascetic,12.0
wereboar,4.0
werejaguar,4.0
wererat,2.0
wereraven,2.0
weretiger,4.0
werevulture,4.0
werewolf,3.0
werewolf (krallenhorde),3.0
werewolf ravager,7.0
wersten kern,14.0
west wind,3.0
whirlwyrm,5.0
whistler,9.0
white abishai,6.0
white dragon wyrmling,2.0
white greatwyrm,27.0
white guard drake,2.0
white jade emperor,0.125
white maw,10.0
whymsee,5.0
wiggan nettlebee,2.0
wight,3.0
wild dog,0.0
wildfire spirit,
will-o'-wells,2.0
will-o'-wisp,2.0
willifort crowelle,3.0
windharrow,3.0
wine weird,3.0
winged bull,4.0
winged kobold,0.25
winged lion,4.0
winged thrull,0.5
winter eladrin,10.0
winter wolf,3.0
wiri fleagol,0.0
witchkite,15.0
witchlight hand (medium),0.125
witchlight hand (small),0.125
witchstalker,6.0
witherbloom apprentice,2.0
witherbloom pledgemage,4.0
witherbloom professor of decay,7.0
witherbloom professor of growth,7.0
withers,4.0
woe strider,7.0
wolf,0.25
wolf of the overworld,0.25
wolfwere,4.0
wolfwere alpha,6.0
wood elf,0.5
wood elf wizard,7.0
wood woad,5.0
woodcrasher baloth,5.0
wooden donkey,0.125
worg,0.5
wraith,5.0
wraithroot tree,14.0
wretched sorrowsworn,0.25
wurm,15.0
wyhan,6.0
wyllow,12.0
wynling,0.5
wyvern,6.0
x01,13.0
xakalonus,8.0
xan moonblade,8.0
xanathar,13.0
xandala,7.0
xardorok sunblight,5.0
xazax the eyemonger,13.0
xenk yendar,10.0
xill,3.0
xilonen,5.0
xocopol,9.0
xolkin alassandar,2.0
xorn,5.0
xot,3.0
xvart,0.125
xvart speaker,0.125
xvart warlock of raxivort,1.0
xzar the chaos clone,11.0
y,3.0
y'demi,9.0
yagnoloth,11.0
yagra stonefist,0.5
yak,0.25
yakfolk priest,4.0
yakfolk warrior,3.0
yalaga maladwyn,8.0
yalah gralhund,0.125
yan-c-bin,18.0
yanthdel henlifel,5.0
yarana,0.5
yarnspinner,10.0
yeenoghu,24.0
yellow musk creeper,2.0
yellow musk zombie,0.25
yestabrod,4.0
yeth hound,4.0
yeti,3.0
yeti leader,3.0
yeti tyke,0.125
yevgeni krushkin,0.5
yggdrasti,7.0
"ygorl, lord of entropy",23.0
yinra emberwind,0.5
yochlol,10.0
yorb,2.0
yorn,0.5
young amethyst dragon,9.0
young amonkhet dragon,10.0
young basilisk,1.0
young black dragon,7.0
young blightscale dragon,8.0
young blue dragon,9.0
young brass dragon,6.0
young bronze dragon,8.0
young bulette,2.0
young cloud giant,5.0
young copper dragon,7.0
young crystal dragon,5.0
young deep dragon,5.0
young dragon turtle,10.0
young emerald dragon,8.0
young fire giant,2.0
young frost giant,2.0
young gold dragon,10.0
young green dragon,8.0
young griffon (medium),1.0
young griffon (small),0.25
young griffon (tiny),0.0
young hill giant,0.5
young hook horror,0.25
young horizonback tortoise,3.0
young kraken,14.0
young kruthik,0.125
young lunar dragon,7.0
young magma landshark,9.0
young moonstone dragon,8.0
young ogre servant,0.5
young purple worm,13.0
young red dragon,10.0
young red shadow dragon,13.0
young remorhaz,5.0
young sapphire dragon,9.0
young sea serpent,8.0
young silver dragon,9.0
young solar dragon,9.0
young time dragon,11.0
young topaz dragon,7.0
young troglodyte,0.125
young wereraven,2.0
young white dragon,6.0
young winter wolf,1.0
young-gi,0.125
yuan-ti abomination,7.0
yuan-ti anathema,12.0
yuan-ti broodguard,2.0
yuan-ti malison (type 1),3.0
yuan-ti malison (type 2),3.0
yuan-ti malison (type 3),3.0
yuan-ti malison (type 4),3.0
yuan-ti malison (type 5),3.0
yuan-ti mind whisperer,4.0
yuan-ti nightmare speaker,4.0
yuan-ti pit master,5.0
yuan-ti priest,3.0
yuan-ti pureblood,1.0
yuk yuk,0.25
yusdrayl,1.0
zagum,20.0
zakya rakshasa,5.0
zala morphus,2.0
zalkoré,6.0
zaltember,1.0
zalthar shadowdusk,17.0
zarak,2.0
zaratan,22.0
zargash,3.0
zariel,26.0
zaroum al-saryak,2.0
zaythir,7.0
zebra,0.25
zegana,16.0
zegdar,3.0
zendikar dragon,10.0
zendikar golem,10.0
zeond,1.0
zephyros,13.0
zhanthi,0.125
zhent martial arts adept,3.0
zhentarim thug,0.5
zi liang,
zikran,12.0
zikzokrishka,17.0
zilchyn q'leptin,7.0
zindar,8.0
ziraj the hunter,8.0
zisatta,0.125
zodar,16.0
zombie,0.25
zombie cat,0.0
zombie clot,6.0
zombie horse,0.25
zombie plague spreader,4.0
zombie rat,0.0
zombie snake,0.125
zombie troll,4.0
zorak lightdrinker,13.0
zorbo,0.5
zorhanna adulare,12.0
zorhanna's simulacrum,12.0
zox clammersham,12.0
zress orlezziir,9.0
zuggtmoy,23.0
zuleika toranescu,3.0
zygfrek belview,0.25
zythan,13.0
